Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
04/12/2025;22/12/2025;23/12/2025;ibis Sinop;R$ 289;Sinop;Diaria;1;7,7;3;Hotel;8,3;7,7;7,8;7,9;8,8;6,9;7,2;N;N;Hotel;-11.852201878169355;-55.49617758481537
04/12/2025;22/12/2025;23/12/2025;Ucayali Hotel;R$ 390;Sinop;Diaria;878;9,3;4;Hotel;9,3;9,4;9,4;9,5;9,6;8,6;9,2;N;N;Hotel;-11.856160363261683;-55.496272174392516
04/12/2025;22/12/2025;23/12/2025;Transamerica FIT Sinop;R$ 328;Sinop;Diaria;366;8,1;3;Hotel;8,5;8,2;8,3;8,2;9,0;7,4;7,4;S;N;Hotel;-11.856092;-55.51366
04/12/2025;22/12/2025;23/12/2025;VIE HOTEL;R$ 416;Sinop;Diaria;532;9,2;5;Hotel;9,2;9,4;9,5;9,5;9,1;8,4;8,7;N;N;Hotel;-11.854966;-55.540893
04/12/2025;22/12/2025;23/12/2025;SOFT HOTEL SiNOP;R$ 180;Sinop;Diaria;96;8,2;3;Privado;8,6;8,0;8,4;8,1;8,1;8,3;0.0;N;N;Hotel;-11.8418198;-55.5219597
04/12/2025;22/12/2025;23/12/2025;Casa garagem caminhonete exceto Dodge Ram, 2 quartos, espaço para 6 pessoas, casa completa, 5min Centro - Casa 5;R$ 365;Sinop;Diaria;5;10;3;Privado;10,0;10,0;10,0;10,0;9,5;10,0;0.0;N;N;Apartamento;-11.8808944;-55.5295104
04/12/2025;22/12/2025;23/12/2025;Apto Elegante com Garagem Bairro Nobre;R$ 133;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8393043;-55.5373369
04/12/2025;22/12/2025;23/12/2025;Sonus Hotel;R$ 290;Sinop;Diaria;218;8,8;Sem Classificação;Hotel;9,0;8,9;9,0;8,9;8,3;8,1;8,3;N;N;Hotel;-11.8263545831591;-55.4865349470983
04/12/2025;22/12/2025;23/12/2025;Vitoria Palace Hotel;R$ 244;Sinop;Diaria;344;8,4;Sem Classificação;Hotel;9,1;8,1;8,6;8,2;8,4;8,0;8,4;N;N;Hotel;-11.8760276048841;-55.4996636
04/12/2025;22/12/2025;23/12/2025;Italian Palace Hotel;R$ 264;Sinop;Diaria;121;8,9;Sem Classificação;Hotel;9,2;8,4;8,9;9,1;9,4;8,2;8,4;N;N;Hotel;-11.854773342511;-55.498843947004
04/12/2025;22/12/2025;23/12/2025;Mini Loft Siena;R$ 427;Sinop;Diaria;30;9,6;3;Privado;9,7;9,9;9,7;9,9;8,8;9,5;8,8;N;N;temporada;-11.8321542;-55.5305896
04/12/2025;22/12/2025;23/12/2025;Apartamento completo ate 5 pessoas ou um quarto com sala e cozinha para 2 pessoas;R$ 280;Sinop;Diaria;36;9,7;3;Privado;9,9;9,5;9,8;9,6;8,0;9,7;10,0;N;N;Apartamento;-11.8137675148319;-55.5093364851837
04/12/2025;22/12/2025;23/12/2025;Flats Andira Kuss;R$ 398;Sinop;Diaria;65;9,4;4;Hotel;9,4;9,4;9,5;9,0;8,7;9,4;9,0;N;N;Apartamento;-11.8839961;-55.504825900000014
04/12/2025;22/12/2025;23/12/2025;Hotel Cancioneiro;R$ 250;Sinop;Diaria;112;7,5;Sem Classificação;Hotel;8,6;7,4;8,1;7,7;8,2;7,2;8,5;N;N;Hotel;-11.842754061364898;-55.49116471413072
04/12/2025;22/12/2025;23/12/2025;Suíte com entrada individual;R$ 138;Sinop;Diaria;20;9,7;3;Privado;9,9;9,9;9,9;9,9;9,3;9,7;0.0;N;N;Apartamento;-11.8462744;-55.5194293
04/12/2025;22/12/2025;23/12/2025;Apart Hotel Neri;R$ 229;Sinop;Diaria;254;9,8;4;Privado;9,7;9,9;9,8;9,8;9,6;9,7;9,7;N;N;Apartamento;-11.84467915138;-55.507953920832
04/12/2025;22/12/2025;23/12/2025;Apartamento Rocha Sinop;R$ 406;Sinop;Diaria;63;7,9;4;Privado;8,9;8,2;7,3;7,7;8,3;8,1;9,1;N;N;Apartamento;-11.890743;-55.503252
04/12/2025;22/12/2025;23/12/2025;Hostel 940;R$ 90;Sinop;Diaria;18;8,5;Sem Classificação;Privado;8,4;8,3;8,7;8,1;8,3;9,1;7,5;N;N;Hostel;-11.8375083;-55.5073435
04/12/2025;22/12/2025;23/12/2025;Apartamento completo com 2 quartos no centro de sinop;R$ 546;Sinop;Diaria;11;9,2;3;Privado;9,5;9,0;8,9;8,8;9,0;9,3;0.0;N;N;Apartamento;-11.8567336;-55.5287111
04/12/2025;22/12/2025;23/12/2025;Pousada central;R$ 181;Sinop;Diaria;49;9,0;3;Privado;9,0;8,8;9,4;9,0;9,5;9,0;8,7;N;N;hóspedes;-11.8549409;-55.5092702
04/12/2025;22/12/2025;23/12/2025;Ap bem localizado e aconchegante;R$ 236;Sinop;Diaria;7;9,6;3;Privado;10,0;10,0;9,7;9,6;9,4;10,0;0.0;N;N;Apartamento;-11.8572000603993;-55.5318922005406
04/12/2025;22/12/2025;23/12/2025;Confira esse ótimo lugar para ficar em Sinop;R$ 274;Sinop;Diaria;7;9,6;3;Privado;9,6;9,6;9,3;9,6;10,0;9,6;0.0;N;N;Apartamento;-11.8684799;-55.5236452
04/12/2025;22/12/2025;23/12/2025;Quarto individual com 2 camas box de solteiro hostel 940;R$ 99;Sinop;Diaria;17;9,4;Sem Classificação;Privado;9,2;9,4;9,6;9,4;9,5;9,7;0.0;N;N;domiciliar;-11.8375102;-55.507322
04/12/2025;22/12/2025;23/12/2025;Casa Agnoli;R$ 198;Sinop;Diaria;12;9,7;3;Privado;10,0;9,4;9,8;9,6;8,4;9,8;10,0;N;N;temporada;-11.8140791667898;-55.5094168191369
04/12/2025;22/12/2025;23/12/2025;Casa confortavel e aconchegante;R$ 645;Sinop;Diaria;14;9,3;3;Privado;9,7;9,8;8,7;8,8;9,0;8,9;10,0;N;N;temporada;-11.8595954;-55.5321047
04/12/2025;22/12/2025;23/12/2025;Nalevaiko- Apartamento próximo do centro;R$ 388;Sinop;Diaria;3;9,7;3;Privado;9,2;8,3;9,2;9,2;9,2;9,2;0.0;N;N;Apartamento;-11.8567336;-55.5287111
04/12/2025;22/12/2025;23/12/2025;Apart Aconchego Mobiliado Centro;R$ 289;Sinop;Diaria;64;9,5;3;Privado;9,9;9,6;9,9;9,7;9,8;9,8;8,8;N;N;Apartamento;-11.8489143;-55.5142387
04/12/2025;22/12/2025;23/12/2025;Apartamento minutos do Centro;R$ 486;Sinop;Diaria;10;10;3;Privado;9,7;9,7;9,7;9,7;9,7;9,7;0.0;N;N;Apartamento;-11.8567555986515;-55.528607086874
