Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
06/02/2026;29/08/2026;30/08/2026;Apto Tavares Jockey X;R$ 338;Campos dos Goytacazes;Teste;0;0;4;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.772814;-41.280794
06/02/2026;29/08/2026;30/08/2026;Promenade Soho Campos dos Goytacazes - OFICIAL;R$ 293;Campos dos Goytacazes;Teste;341;9,0;4;Hotel;9,0;9,1;9,2;9,3;9,3;8,6;8,9;N;N;Hotel;-21.763386;-41.327522
06/02/2026;29/08/2026;30/08/2026;Complete Apartment-Comfort and Practicality-Well located;R$ 94;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7357598552451;-41.3045028653628
06/02/2026;29/08/2026;30/08/2026;Apto Agua Pri;R$ 193;Campos dos Goytacazes;Teste;1;8,0;Sem Classificação;Privado;10,0;10,0;7,5;7,5;10,0;7,5;0.0;N;N;Apartamento;-21.7641713;-41.3540956
06/02/2026;29/08/2026;30/08/2026;Apartamento Especial;R$ 162;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7651804;-41.3542734
06/02/2026;29/08/2026;30/08/2026;Excelente Flat,aconchegante e Sossegado;R$ 134;Campos dos Goytacazes;Teste;6;8,4;Sem Classificação;Privado;9,2;8,4;9,6;8,4;8,8;8,4;0.0;N;N;Apartamento;-21.756182;-41.3273568
06/02/2026;29/08/2026;30/08/2026;Apartamento aconchegante;R$ 270;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7651804;-41.3542734
06/02/2026;29/08/2026;30/08/2026;Apartamento completo condomínio Ônix;R$ 171;Campos dos Goytacazes;Teste;8;9,6;3;Privado;10,0;9,0;10,0;9,7;9,3;10,0;0.0;N;N;Apartamento;-21.7643076;-41.3529943
06/02/2026;29/08/2026;30/08/2026;Jockey Apto 2;R$ 144;Campos dos Goytacazes;Teste;14;6,0;3;Privado;6,6;6,9;6,6;6,6;6,8;7,3;0.0;N;N;Apartamento;-21.772909;-41.281543
06/02/2026;29/08/2026;30/08/2026;Água Novo 2026;R$ 224;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7651804;-41.3542734
06/02/2026;29/08/2026;30/08/2026;Flat Aconchegante;R$ 180;Campos dos Goytacazes;Teste;26;9,8;4;Privado;9,6;9,7;9,6;9,7;9,8;9,5;10,0;N;N;Apart-hotel;-21.7634014;-41.3274829
06/02/2026;29/08/2026;30/08/2026;Apartamento aconchegante ideal para casais;R$ 136;Campos dos Goytacazes;Teste;21;9,8;3;Privado;9,7;9,9;9,8;10,0;9,5;9,9;0.0;N;N;Apartamento;-21.7323326;-41.3560115
06/02/2026;29/08/2026;30/08/2026;Pousada Pinheiro;R$ 140;Parque Leopoldina, Campos dos Goytacazes;Teste;150;8,0;Sem Classificação;Hotel;8,3;8,0;8,4;8,4;8,9;8,2;8,1;N;N;Pousada;-21.75236;-41.341233
06/02/2026;29/08/2026;30/08/2026;Apart velasco;R$ 203;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7640171;-41.3521246
06/02/2026;29/08/2026;30/08/2026;Aconchego de Casa;R$ 77;Campos dos Goytacazes;Teste;10;7,7;Sem Classificação;Privado;9,0;7,2;7,2;8,0;8,2;8,5;0.0;N;N;Apartamento;-21.7724233;-41.2878823
06/02/2026;29/08/2026;30/08/2026;Flat ViaPark;R$ 180;Campos dos Goytacazes;Teste;41;8,6;3;Privado;8,9;8,5;8,8;8,6;9,5;9,0;10,0;N;N;Apartamento;-21.7651762;-41.3283258
06/02/2026;29/08/2026;30/08/2026;Hotel Campos Plaza;R$ 170;Campos dos Goytacazes;Teste;345;8,4;Sem Classificação;Hotel;9,1;8,3;8,8;8,4;8,7;8,5;8,2;N;N;Hotel;-21.767801;-41.350578
06/02/2026;29/08/2026;30/08/2026;Apartamento aconchegante centro Campos-Rj;R$ 144;Campos dos Goytacazes;Teste;70;8,9;4;Privado;9,5;8,9;8,6;8,6;9,5;9,0;10,0;N;N;Apartamento;-21.756358;-41.327249
06/02/2026;29/08/2026;30/08/2026;Pousada Familiar 31;R$ 63;Campos dos Goytacazes;Teste;18;8,8;Sem Classificação;Privado;9,6;8,9;9,3;8,9;9,0;9,0;0.0;N;N;domiciliar;-21.7693262;-41.319404
06/02/2026;29/08/2026;30/08/2026;Via Park Flat PARAÍSO;R$ 180;Campos dos Goytacazes;Teste;14;8,4;4;Privado;8,7;8,9;8,7;8,7;9,1;8,7;0.0;N;N;Apartamento;-21.7661474;-41.3263524
06/02/2026;29/08/2026;30/08/2026;DLUX Hotel;R$ 183;Campos dos Goytacazes;Teste;106;7,8;Sem Classificação;Hotel;8,7;7,7;8,3;7,6;8,2;8,1;5,6;N;N;Hotel;-21.7509537;-41.3487562
06/02/2026;29/08/2026;30/08/2026;Suite Aconchegante;R$ 85;Campos dos Goytacazes;Teste;26;8,1;Sem Classificação;Privado;9,1;8,1;8,2;8,2;9,4;8,9;0.0;N;N;Apartamento;-21.756182;-41.3273568
06/02/2026;29/08/2026;30/08/2026;Pousada El Shaddai;R$ 130;Campos dos Goytacazes;Teste;148;8,2;Sem Classificação;Privado;9,0;8,2;8,7;8,4;8,2;8,4;9,4;N;N;Pousada;-21.74718895846255;-41.3439284561681
06/02/2026;29/08/2026;30/08/2026;Hotel Cravo e Canela;R$ 260;Campos dos Goytacazes;Teste;763;8,4;4;Hotel;8,7;8,2;8,5;8,5;8,4;8,2;7,3;N;N;Hotel;-21.75920951768078;-41.345946192741394
06/02/2026;29/08/2026;30/08/2026;América Executive Apart Hotel Campos;R$ 268;Campos dos Goytacazes;Teste;33;9,6;4;Privado;9,8;9,8;9,8;9,6;9,8;9,8;10,0;N;N;Apartamento;-21.754764094051716;-41.339211942736014
